sp	name	type	source	subtype
eco	B2437	phage	virsorter	prophage-5
eco	B2438	phage	virsorter	prophage-5
eco	B2439	phage	virsorter	prophage-5
eco	B2440	phage	virsorter	prophage-5
eco	B2441	phage	virsorter	prophage-5
eco	B2442	phage	virsorter	prophage-5
eco	B2443	phage	virsorter	prophage-5
eco	B2444	phage	virsorter	prophage-5
eco	B2445	phage	virsorter	prophage-5
eco	B2446	phage	virsorter	prophage-5
eco	B2447	phage	virsorter	prophage-5
eco	B2448	phage	virsorter	prophage-5
eco	B2449	phage	virsorter	prophage-5
eco	B2450	phage	virsorter	prophage-5
eco	B2451	phage	virsorter	prophage-5
eco	B2452	phage	virsorter	prophage-5
eco	B0547	phage	virsorter	prophage-5
eco	B0549	phage	virsorter	prophage-5
eco	B4588	phage	virsorter	prophage-5
eco	B0550	phage	virsorter	prophage-5
eco	B0548	phage	virsorter	prophage-5
eco	B4509	phage	virsorter	prophage-5
eco	B0551	phage	virsorter	prophage-5
eco	B0552	phage	virsorter	prophage-5
eco	B0553	phage	virsorter	prophage-5
eco	PL522	phage	virsorter	prophage-5
eco	B0554	phage	virsorter	prophage-5
eco	B0555	phage	virsorter	prophage-5
eco	B0556	phage	virsorter	prophage-5
eco	B4510	phage	virsorter	prophage-5
eco	B0557	phage	virsorter	prophage-5
eco	B0559	phage	virsorter	prophage-5
eco	B0558	phage	virsorter	prophage-5
eco	B4589	phage	virsorter	prophage-5
eco	ST3604	phage	virsorter	prophage-5
eco	B0560	phage	virsorter	prophage-5
eco	B0561	phage	virsorter	prophage-5
eco	B4634	phage	virsorter	prophage-5
eco	ST549	phage	virsorter	prophage-5
eco	B0562	phage	virsorter	prophage-5
eco	B1140	phage	virsorter	prophage-5
eco	B1141	phage	virsorter	prophage-5
eco	MR91	phage	virsorter	prophage-5
eco	B1145	phage	virsorter	prophage-5
eco	B1143	phage	virsorter	prophage-5
eco	B1144	phage	virsorter	prophage-5
eco	B1146	phage	virsorter	prophage-5
eco	B1147	phage	virsorter	prophage-5
eco	B4693	phage	virsorter	prophage-5
eco	B1148	phage	virsorter	prophage-5
eco	B4692	phage	virsorter	prophage-5
eco	B1150	phage	virsorter	prophage-5
eco	PL1084	phage	virsorter	prophage-5
eco	B1152	phage	virsorter	prophage-5
eco	B1151	phage	virsorter	prophage-5
eco	B1153	phage	virsorter	prophage-5
eco	B1154	phage	virsorter	prophage-5
eco	B1155	phage	virsorter	prophage-5
eco	B1156	phage	virsorter	prophage-5
eco	B1157	phage	virsorter	prophage-5
eco	B1158	phage	virsorter	prophage-5
eco	B1159	phage	virsorter	prophage-5
eco	B4519	phage	virsorter	prophage-5
eco	B1160	phage	virsorter	prophage-5
eco	B1161	phage	virsorter	prophage-5
eco	B1162	phage	virsorter	prophage-5
eco	B1163	phage	virsorter	prophage-5
eco	B1164	phage	virsorter	prophage-5
eco	B1165	phage	virsorter	prophage-5
eco	B1166	phage	virsorter	prophage-5
eco	B1167	phage	virsorter	prophage-5
eco	B1168	phage	virsorter	prophage-5
eco	B4520	phage	virsorter	prophage-5
eco	PS1512	phage	virsorter	prophage-5
eco	PL1100	phage	virsorter	prophage-5
eco	B4491	phage	virsorter	prophage-5
eco	PL1101	phage	virsorter	prophage-5
eco	B1171	phage	virsorter	prophage-5
eco	B1172	phage	virsorter	prophage-5
eco	PS1522	phage	virsorter	prophage-5
eco	PL1104	phage	virsorter	prophage-5
eco	B4521	phage	virsorter	prophage-5
eco	B4593	phage	virsorter	prophage-5
eco	B4594	phage	virsorter	prophage-5
eco	B1174	phage	virsorter	prophage-5
eco	B1175	phage	virsorter	prophage-5
eco	B1176	phage	virsorter	prophage-5
eco	B1177	phage	virsorter	prophage-5
eco	B1178	phage	virsorter	prophage-5
eco	PS1535	phage	virsorter	prophage-5
eco	B1179	phage	virsorter	prophage-5
eco	B1180	phage	virsorter	prophage-5
eco	B1181	phage	virsorter	prophage-5
eco	B1182	phage	virsorter	prophage-5
eco	MR95	phage	virsorter	prophage-5
eco	B1183	phage	virsorter	prophage-5
eco	B1184	phage	virsorter	prophage-5
eco	B1185	phage	virsorter	prophage-5
eco	B1544	phage	virsorter	prophage-6
eco	B1545	phage	virsorter	prophage-6
eco	B1546	phage	virsorter	prophage-6
eco	B1547	phage	virsorter	prophage-6
eco	PL1471	phage	virsorter	prophage-6
eco	ST3432	phage	virsorter	prophage-6
eco	B4533	phage	virsorter	prophage-6
eco	B1550	phage	virsorter	prophage-6
eco	B1548	phage	virsorter	prophage-6
eco	B1551	phage	virsorter	prophage-6
eco	PS2084	phage	virsorter	prophage-6
eco	B1552	phage	virsorter	prophage-6
eco	B1549	phage	virsorter	prophage-6
eco	B1553	phage	virsorter	prophage-6
eco	B4689	phage	virsorter	prophage-6
eco	B1554	phage	virsorter	prophage-6
eco	B1555	phage	virsorter	prophage-6
eco	B1556	phage	virsorter	prophage-6
eco	B1557	phage	virsorter	prophage-6
eco	B1558	phage	virsorter	prophage-6
eco	B1559	phage	virsorter	prophage-6
eco	B1560	phage	virsorter	prophage-6
eco	B1561	phage	virsorter	prophage-6
eco	PS2099	phage	virsorter	prophage-6
eco	B1562	phage	virsorter	prophage-6
eco	B1563	phage	virsorter	prophage-6
eco	B1564	phage	virsorter	prophage-6
eco	B1565	phage	virsorter	prophage-6
eco	B1566	phage	virsorter	prophage-6
eco	ST3977	phage	virsorter	prophage-6
eco	B1569	phage	virsorter	prophage-6
eco	B1570	phage	virsorter	prophage-6
eco	B1571	phage	virsorter	prophage-6
eco	B1572	phage	virsorter	prophage-6
eco	B1573	phage	virsorter	prophage-6
eco	B1567	phage	virsorter	prophage-6
eco	B1568	phage	virsorter	prophage-6
eco	B1575	phage	virsorter	prophage-6
eco	B1576	phage	virsorter	prophage-6
eco	PL1491	phage	virsorter	prophage-6
eco	B1578	phage	virsorter	prophage-6
eco	B1574	phage	virsorter	prophage-6
eco	B1579	phage	virsorter	prophage-6
eco	B1577	phage	virsorter	prophage-6
eco	PS2121	phage	virsorter	prophage-6
eco	B1580	phage	virsorter	prophage-6
eco	B1581	phage	virsorter	prophage-6
eco	B1582	phage	virsorter	prophage-6
eco	B0008	phage	phast	incomplete
eco	B0009	phage	phast	incomplete
eco	B0010	phage	phast	incomplete
eco	B0011	phage	phast	incomplete
eco	B0013	phage	phast	incomplete
eco	B0014	phage	phast	incomplete
eco	B0015	phage	phast	incomplete
eco	B0016	phage	phast	incomplete
eco	B0018	phage	phast	incomplete
eco	B4412	phage	phast	incomplete
eco	B4413	phage	phast	incomplete
eco	B0019	phage	phast	incomplete
eco	B0020	phage	phast	incomplete
eco	B0021	phage	phast	incomplete
eco	B0022	phage	phast	incomplete
eco	B0023	phage	phast	incomplete
eco	B0024	phage	phast	incomplete
eco	B0025	phage	phast	incomplete
eco	B0026	phage	phast	incomplete
eco	B0027	phage	phast	incomplete
eco	B0028	phage	phast	incomplete
eco	B0029	phage	phast	incomplete
eco	B0030	phage	phast	incomplete
eco	B0031	phage	phast	incomplete
eco	ST4043	phage	phast	incomplete
eco	PS36	phage	phast	incomplete
eco	B0032	phage	phast	incomplete
eco	B0033	phage	phast	incomplete
eco	B0034	phage	phast	incomplete
eco	B0035	phage	phast	incomplete
eco	B0036	phage	phast	incomplete
eco	B0037	phage	phast	incomplete
eco	B0077	phage	phast	incomplete
eco	B0078	phage	phast	incomplete
eco	B0080	phage	phast	incomplete
eco	B0081	phage	phast	incomplete
eco	B0082	phage	phast	incomplete
eco	B0083	phage	phast	incomplete
eco	B0084	phage	phast	incomplete
eco	B0085	phage	phast	incomplete
eco	B0086	phage	phast	incomplete
eco	B0087	phage	phast	incomplete
eco	B0088	phage	phast	incomplete
eco	B0089	phage	phast	incomplete
eco	B0090	phage	phast	incomplete
eco	B0091	phage	phast	incomplete
eco	B0092	phage	phast	incomplete
eco	B0093	phage	phast	incomplete
eco	B0094	phage	phast	incomplete
eco	B0095	phage	phast	incomplete
eco	B0125	phage	phast	incomplete
eco	B0126	phage	phast	incomplete
eco	B0127	phage	phast	incomplete
eco	B0128	phage	phast	incomplete
eco	B0129	phage	phast	incomplete
eco	B0130	phage	phast	incomplete
eco	B0131	phage	phast	incomplete
eco	PL121	phage	phast	incomplete
eco	B0132	phage	phast	incomplete
eco	B0133	phage	phast	incomplete
eco	B0134	phage	phast	incomplete
eco	B0244	phage	phast	questionable
eco	B0246	phage	phast	questionable
eco	B4626	phage	phast	questionable
eco	B4504	phage	phast	questionable
eco	B0247	phage	phast	questionable
eco	B0248	phage	phast	questionable
eco	B0249	phage	phast	questionable
eco	B0250	phage	phast	questionable
eco	B0251	phage	phast	questionable
eco	B4627	phage	phast	questionable
eco	B0252	phage	phast	questionable
eco	B4628	phage	phast	questionable
eco	B0253	phage	phast	questionable
eco	B0254	phage	phast	questionable
eco	PL239	phage	phast	questionable
eco	B0256	phage	phast	questionable
eco	B4587	phage	phast	questionable
eco	PS320	phage	phast	questionable
eco	PS321	phage	phast	questionable
eco	PL242	phage	phast	questionable
eco	B4690	phage	phast	questionable
eco	B0258	phage	phast	questionable
eco	ST2337	phage	phast	questionable
eco	B0259	phage	phast	questionable
eco	B0260	phage	phast	questionable
eco	B0261	phage	phast	questionable
eco	B0262	phage	phast	questionable
eco	B0263	phage	phast	questionable
eco	B0264	phage	phast	questionable
eco	B0265	phage	phast	questionable
eco	PL249	phage	phast	questionable
eco	ST1182	phage	phast	questionable
eco	B4708	phage	phast	questionable
eco	B0267	phage	phast	questionable
eco	B4505	phage	phast	questionable
eco	B0266	phage	phast	questionable
eco	B0268	phage	phast	questionable
eco	B0269	phage	phast	questionable
eco	B0270	phage	phast	questionable
eco	B0271	phage	phast	questionable
eco	B0272	phage	phast	questionable
eco	B0273	phage	phast	questionable
eco	ST849	phage	phast	questionable
eco	B0274	phage	phast	questionable
eco	B0275	phage	phast	questionable
eco	B4688	phage	phast	questionable
eco	B0276	phage	phast	questionable
eco	B0277	phage	phast	questionable
eco	B0278	phage	phast	questionable
eco	B0279	phage	phast	questionable
eco	B0281	phage	phast	questionable
eco	B0280	phage	phast	questionable
eco	TR6	phage	phast	questionable
eco	PS356	phage	phast	questionable
eco	B4694	phage	phast	questionable
eco	B0283	phage	phast	questionable
eco	B4629	phage	phast	questionable
eco	B4695	phage	phast	questionable
eco	B0284	phage	phast	questionable
eco	B0285	phage	phast	questionable
eco	B0411	phage	phast	incomplete
eco	B0412	phage	phast	incomplete
eco	B0413	phage	phast	incomplete
eco	B0414	phage	phast	incomplete
eco	B0415	phage	phast	incomplete
eco	B0416	phage	phast	incomplete
eco	B0417	phage	phast	incomplete
eco	B0418	phage	phast	incomplete
eco	B0419	phage	phast	incomplete
eco	B0420	phage	phast	incomplete
eco	B0421	phage	phast	incomplete
eco	B0422	phage	phast	incomplete
eco	PS551	phage	phast	incomplete
eco	B0423	phage	phast	incomplete
eco	B0424	phage	phast	incomplete
eco	B0425	phage	phast	incomplete
eco	B0426	phage	phast	incomplete
eco	B0427	phage	phast	incomplete
eco	B0428	phage	phast	incomplete
eco	B0478	phage	phast	incomplete
eco	B0479	phage	phast	incomplete
eco	B0480	phage	phast	incomplete
eco	B0481	phage	phast	incomplete
eco	B0482	phage	phast	incomplete
eco	B4585	phage	phast	incomplete
eco	B0483	phage	phast	incomplete
eco	B0484	phage	phast	incomplete
eco	B0485	phage	phast	incomplete
eco	B0486	phage	phast	incomplete
eco	B0487	phage	phast	incomplete
eco	B0488	phage	phast	incomplete
eco	B0489	phage	phast	incomplete
eco	B0490	phage	phast	incomplete
eco	B0491	phage	phast	incomplete
eco	B0492	phage	phast	incomplete
eco	B0493	phage	phast	incomplete
eco	B0494	phage	phast	incomplete
eco	B0495	phage	phast	incomplete
eco	B0496	phage	phast	incomplete
eco	TR8	phage	phast	intact
eco	B0537	phage	phast	intact
eco	B0536	phage	phast	intact
eco	B0539	phage	phast	intact
eco	B4508	phage	phast	intact
eco	B4633	phage	phast	intact
eco	PS697	phage	phast	intact
eco	B0540	phage	phast	intact
eco	B0541	phage	phast	intact
eco	B0542	phage	phast	intact
eco	B0543	phage	phast	intact
eco	ST2762	phage	phast	intact
eco	B0544	phage	phast	intact
eco	B0546	phage	phast	intact
eco	B0545	phage	phast	intact
eco	B0547	phage	phast	intact
eco	B0549	phage	phast	intact
eco	B4588	phage	phast	intact
eco	B0550	phage	phast	intact
eco	B0548	phage	phast	intact
eco	B4509	phage	phast	intact
eco	B0551	phage	phast	intact
eco	B0552	phage	phast	intact
eco	B0553	phage	phast	intact
eco	PL522	phage	phast	intact
eco	B0554	phage	phast	intact
eco	B0555	phage	phast	intact
eco	B0556	phage	phast	intact
eco	B4510	phage	phast	intact
eco	B0557	phage	phast	intact
eco	B0559	phage	phast	intact
eco	B0558	phage	phast	intact
eco	B4589	phage	phast	intact
eco	ST3604	phage	phast	intact
eco	B0560	phage	phast	intact
eco	B0561	phage	phast	intact
eco	B4634	phage	phast	intact
eco	ST549	phage	phast	intact
eco	B0562	phage	phast	intact
eco	B0564	phage	phast	intact
eco	B0563	phage	phast	intact
eco	B0565	phage	phast	intact
eco	B0566	phage	phast	intact
eco	B0648	phage	phast	incomplete
eco	B0649	phage	phast	incomplete
eco	B0650	phage	phast	incomplete
eco	B0651	phage	phast	incomplete
eco	B0652	phage	phast	incomplete
eco	B0653	phage	phast	incomplete
eco	B0654	phage	phast	incomplete
eco	B0655	phage	phast	incomplete
eco	B0656	phage	phast	incomplete
eco	PS863	phage	phast	incomplete
eco	B0657	phage	phast	incomplete
eco	B0658	phage	phast	incomplete
eco	B0659	phage	phast	incomplete
eco	B0660	phage	phast	incomplete
eco	B0852	phage	phast	incomplete
eco	B0853	phage	phast	incomplete
eco	PS1103	phage	phast	incomplete
eco	B0854	phage	phast	incomplete
eco	B0855	phage	phast	incomplete
eco	B0856	phage	phast	incomplete
eco	B0857	phage	phast	incomplete
eco	B0858	phage	phast	incomplete
eco	B0859	phage	phast	incomplete
eco	B0860	phage	phast	incomplete
eco	B0861	phage	phast	incomplete
eco	B0862	phage	phast	incomplete
eco	B0863	phage	phast	incomplete
eco	B0864	phage	phast	incomplete
eco	B0865	phage	phast	incomplete
eco	B0866	phage	phast	incomplete
eco	B0867	phage	phast	incomplete
eco	B1111	phage	phast	questionable
eco	B1112	phage	phast	questionable
eco	B1113	phage	phast	questionable
eco	B1114	phage	phast	questionable
eco	B1115	phage	phast	questionable
eco	B1116	phage	phast	questionable
eco	B1117	phage	phast	questionable
eco	B1118	phage	phast	questionable
eco	B1119	phage	phast	questionable
eco	B1120	phage	phast	questionable
eco	B1121	phage	phast	questionable
eco	B1122	phage	phast	questionable
eco	B1123	phage	phast	questionable
eco	B1124	phage	phast	questionable
eco	B1125	phage	phast	questionable
eco	B1126	phage	phast	questionable
eco	PL1065	phage	phast	questionable
eco	B1127	phage	phast	questionable
eco	B1128	phage	phast	questionable
eco	B1129	phage	phast	questionable
eco	B1130	phage	phast	questionable
eco	B1131	phage	phast	questionable
eco	B1132	phage	phast	questionable
eco	B1133	phage	phast	questionable
eco	B1134	phage	phast	questionable
eco	B1135	phage	phast	questionable
eco	PS1473	phage	phast	questionable
eco	B1136	phage	phast	questionable
eco	MR103	phage	phast	questionable
eco	B1137	phage	phast	questionable
eco	B1138	phage	phast	questionable
eco	B1139	phage	phast	questionable
eco	B1140	phage	phast	questionable
eco	B1141	phage	phast	questionable
eco	MR91	phage	phast	questionable
eco	B1145	phage	phast	questionable
eco	B1143	phage	phast	questionable
eco	B1144	phage	phast	questionable
eco	B1146	phage	phast	questionable
eco	B1147	phage	phast	questionable
eco	B4693	phage	phast	questionable
eco	B1148	phage	phast	questionable
eco	B4692	phage	phast	questionable
eco	B1150	phage	phast	questionable
eco	PL1084	phage	phast	questionable
eco	B1152	phage	phast	questionable
eco	B1151	phage	phast	questionable
eco	B1153	phage	phast	questionable
eco	B1154	phage	phast	questionable
eco	B1155	phage	phast	questionable
eco	B1156	phage	phast	questionable
eco	B1157	phage	phast	questionable
eco	B1158	phage	phast	questionable
eco	B1159	phage	phast	questionable
eco	B4519	phage	phast	questionable
eco	B1160	phage	phast	questionable
eco	B1161	phage	phast	questionable
eco	B1162	phage	phast	questionable
eco	B1287	phage	phast	incomplete
eco	B1288	phage	phast	incomplete
eco	PS1697	phage	phast	incomplete
eco	B1289	phage	phast	incomplete
eco	B1290	phage	phast	incomplete
eco	B1291	phage	phast	incomplete
eco	B1292	phage	phast	incomplete
eco	B1293	phage	phast	incomplete
eco	B1294	phage	phast	incomplete
eco	B1295	phage	phast	incomplete
eco	B1296	phage	phast	incomplete
eco	B1297	phage	phast	incomplete
eco	PS1709	phage	phast	incomplete
eco	B1298	phage	phast	incomplete
eco	PS1710	phage	phast	incomplete
eco	B1299	phage	phast	incomplete
eco	B1300	phage	phast	incomplete
eco	B1301	phage	phast	incomplete
eco	B1302	phage	phast	incomplete
eco	B1303	phage	phast	incomplete
eco	B1304	phage	phast	incomplete
eco	B1305	phage	phast	incomplete
eco	B1306	phage	phast	incomplete
eco	B1307	phage	phast	incomplete
eco	B1308	phage	phast	incomplete
eco	B1309	phage	phast	incomplete
eco	B1310	phage	phast	incomplete
eco	B1311	phage	phast	incomplete
eco	B1312	phage	phast	incomplete
eco	B1313	phage	phast	incomplete
eco	B1314	phage	phast	incomplete
eco	B1315	phage	phast	incomplete
eco	B1316	phage	phast	incomplete
eco	B1317	phage	phast	incomplete
eco	PL1251	phage	phast	incomplete
eco	B4524	phage	phast	incomplete
eco	B1319	phage	phast	incomplete
eco	B1320	phage	phast	incomplete
eco	B1321	phage	phast	incomplete
eco	B1322	phage	phast	incomplete
eco	B1333	phage	phast	incomplete
eco	B1334	phage	phast	incomplete
eco	B1335	phage	phast	incomplete
eco	B1336	phage	phast	incomplete
eco	B1337	phage	phast	incomplete
eco	B1338	phage	phast	incomplete
eco	PS1768	phage	phast	incomplete
eco	B1339	phage	phast	incomplete
eco	B1340	phage	phast	incomplete
eco	B1341	phage	phast	incomplete
eco	B4426	phage	phast	incomplete
eco	B1342	phage	phast	incomplete
eco	B1343	phage	phast	incomplete
eco	B1344	phage	phast	incomplete
eco	B4699	phage	phast	incomplete
eco	B1345	phage	phast	incomplete
eco	B1346	phage	phast	incomplete
eco	B1348	phage	phast	incomplete
eco	B1349	phage	phast	incomplete
eco	B1350	phage	phast	incomplete
eco	B1347	phage	phast	incomplete
eco	B1351	phage	phast	incomplete
eco	B4526	phage	phast	incomplete
eco	B1352	phage	phast	incomplete
eco	B1353	phage	phast	incomplete
eco	B4527	phage	phast	incomplete
eco	B1355	phage	phast	incomplete
eco	B1356	phage	phast	incomplete
eco	B1357	phage	phast	incomplete
eco	B1358	phage	phast	incomplete
eco	B1359	phage	phast	incomplete
eco	B1360	phage	phast	incomplete
eco	ST3945	phage	phast	incomplete
eco	B1362	phage	phast	incomplete
eco	B4528	phage	phast	incomplete
eco	B1363	phage	phast	incomplete
eco	B1361	phage	phast	incomplete
eco	B1365	phage	phast	incomplete
eco	ST1438	phage	phast	incomplete
eco	ST3009	phage	phast	incomplete
eco	PL1295	phage	phast	incomplete
eco	B1366	phage	phast	incomplete
eco	B1370	phage	phast	incomplete
eco	B1368	phage	phast	incomplete
eco	B4570	phage	phast	incomplete
eco	PS1806	phage	phast	incomplete
eco	PL1298	phage	phast	incomplete
eco	B1372	phage	phast	incomplete
eco	B1373	phage	phast	incomplete
eco	B1374	phage	phast	incomplete
eco	B1375	phage	phast	incomplete
eco	B1376	phage	phast	incomplete
eco	B1377	phage	phast	incomplete
eco	B4638	phage	phast	incomplete
eco	B1542	phage	phast	questionable
eco	B4600	phage	phast	questionable
eco	B1544	phage	phast	questionable
eco	B1545	phage	phast	questionable
eco	B1546	phage	phast	questionable
eco	B1547	phage	phast	questionable
eco	PL1471	phage	phast	questionable
eco	ST3432	phage	phast	questionable
eco	B4533	phage	phast	questionable
eco	B1550	phage	phast	questionable
eco	B1548	phage	phast	questionable
eco	B1551	phage	phast	questionable
eco	PS2084	phage	phast	questionable
eco	B1552	phage	phast	questionable
eco	B1549	phage	phast	questionable
eco	B1553	phage	phast	questionable
eco	B4689	phage	phast	questionable
eco	B1554	phage	phast	questionable
eco	B1555	phage	phast	questionable
eco	B1556	phage	phast	questionable
eco	B1557	phage	phast	questionable
eco	B1558	phage	phast	questionable
eco	B1559	phage	phast	questionable
eco	B1560	phage	phast	questionable
eco	B1561	phage	phast	questionable
eco	PS2099	phage	phast	questionable
eco	B1562	phage	phast	questionable
eco	B1563	phage	phast	questionable
eco	B1564	phage	phast	questionable
eco	B1565	phage	phast	questionable
eco	B1566	phage	phast	questionable
eco	ST3977	phage	phast	questionable
eco	B1569	phage	phast	questionable
eco	B1570	phage	phast	questionable
eco	B1571	phage	phast	questionable
eco	B1572	phage	phast	questionable
eco	B1573	phage	phast	questionable
eco	B1567	phage	phast	questionable
eco	B1568	phage	phast	questionable
eco	B1575	phage	phast	questionable
eco	B1576	phage	phast	questionable
eco	PL1491	phage	phast	questionable
eco	B1578	phage	phast	questionable
eco	B1574	phage	phast	questionable
eco	B1579	phage	phast	questionable
eco	B1577	phage	phast	questionable
eco	PS2121	phage	phast	questionable
eco	B1580	phage	phast	questionable
eco	B1581	phage	phast	questionable
eco	B1582	phage	phast	questionable
eco	B1583	phage	phast	questionable
eco	B1584	phage	phast	questionable
eco	B1585	phage	phast	questionable
eco	B1586	phage	phast	questionable
eco	B1587	phage	phast	questionable
eco	B1588	phage	phast	questionable
eco	B1589	phage	phast	questionable
eco	B1590	phage	phast	questionable
eco	B1591	phage	phast	questionable
eco	PS2134	phage	phast	questionable
eco	B1592	phage	phast	questionable
eco	B1651	phage	phast	incomplete
eco	B1652	phage	phast	incomplete
eco	PS2218	phage	phast	incomplete
eco	B1653	phage	phast	incomplete
eco	B1654	phage	phast	incomplete
eco	PS2222	phage	phast	incomplete
eco	B1655	phage	phast	incomplete
eco	B1656	phage	phast	incomplete
eco	B1657	phage	phast	incomplete
eco	B4602	phage	phast	incomplete
eco	B1658	phage	phast	incomplete
eco	B1659	phage	phast	incomplete
eco	B1660	phage	phast	incomplete
eco	B1661	phage	phast	incomplete
eco	B1662	phage	phast	incomplete
eco	B1663	phage	phast	incomplete
eco	B1664	phage	phast	incomplete
eco	PS2235	phage	phast	incomplete
eco	TR16	phage	phast	incomplete
eco	TR17	phage	phast	incomplete
eco	B1667	phage	phast	incomplete
eco	B1706	phage	phast	incomplete
eco	B1707	phage	phast	incomplete
eco	B1708	phage	phast	incomplete
eco	B1709	phage	phast	incomplete
eco	B1710	phage	phast	incomplete
eco	B1711	phage	phast	incomplete
eco	B1712	phage	phast	incomplete
eco	B1713	phage	phast	incomplete
eco	B1714	phage	phast	incomplete
eco	PS2302	phage	phast	incomplete
eco	B1715	phage	phast	incomplete
eco	B1716	phage	phast	incomplete
eco	B1717	phage	phast	incomplete
eco	B1718	phage	phast	incomplete
eco	B1719	phage	phast	incomplete
eco	PS2308	phage	phast	incomplete
eco	PL1631	phage	phast	incomplete
eco	B4494	phage	phast	incomplete
eco	B1817	phage	phast	incomplete
eco	B1818	phage	phast	incomplete
eco	B1819	phage	phast	incomplete
eco	B1820	phage	phast	incomplete
eco	PS2451	phage	phast	incomplete
eco	B1821	phage	phast	incomplete
eco	B1822	phage	phast	incomplete
eco	B1823	phage	phast	incomplete
eco	B1824	phage	phast	incomplete
